ko_id,name,label
K11373,"elongator complex protein 1",ko
K17423,"large subunit ribosomal protein L42",ko
K13212,"RNA-binding protein Luc7-like 2",ko
K23439,"cytosolic carboxypeptidase protein 6 [EC:3.4.17.24]",ko
K03922,"acyl-[acyl-carrier-protein] desaturase [EC:1.14.19.2]",ko
K22072,"iron-sulfur cluster assembly 2",ko
K06780,"cell adhesion molecule 3",ko
K02117,"V/A-type H+/Na+-transporting ATPase subunit A [EC:7.1.2.2 7.2.2.1]",ko
K21950,"homeobox protein Hox-A9",ko
K15170,"mediator of RNA polymerase II transcription subunit 27",ko
K09142,"methyltransferase [EC:2.1.1.-]",ko
K01845,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",ko
K08385,"G0-opsin",ko
K19244,"alanine dehydrogenase [EC:1.4.1.1]",ko
K09811,"cell division transport system permease protein",ko
K04856,"voltage-dependent calcium channel T type alpha-1I",ko
K22647,"ubiquitin carboxyl-terminal hydrolase MINDY-3/4 [EC:3.4.19.12]",ko
K00504,"peptidylglycine monooxygenase [EC:1.14.17.3]",ko
K08720,"outer membrane protein OmpU",ko
K20860,"FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104]",ko
K00380,"sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]",ko
K06474,"CD34 antigen",ko
K23700,"[histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359]",ko
K21907,"LuxR family transcriptional regulator, glutamate-dependent acid resistance regulator",ko
K23158,"3-O-acetyl-4'-O-demethylpapaveroxine 4'-O-methyltransferase subunit OMT3",ko
K02774,"galactitol PTS system EIIB component [EC:2.7.1.200]",ko
K07340,"inner membrane protein",ko
K03364,"cell division cycle 20-like protein 1, cofactor of APC complex",ko
K24039,"fibroblast growth factor receptor substrate 3",ko
K07148,"uncharacterized protein",ko
K06001,"tryptophan synthase beta chain [EC:4.2.1.20]",ko
K09355,"pre-B-cell leukemia transcription factor 1",ko
K24530,"ferredoxin",ko
K22794,"flavonol-3-O-glucoside/galactoside glucosyltransferase [EC:2.4.1.239 2.4.1.-]",ko
K13406,"flavanone 2-hydroxylase [EC:1.14.14.162]",ko
K21009,"polysaccharide biosynthesis protein PelD",ko
K00101,"L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]",ko
K04606,"metabotropic glutamate receptor 3",ko
K16190,"glucuronokinase [EC:2.7.1.43]",ko
K00065,"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]",ko
K11416,"NAD+-dependent protein deacetylase sirtuin 6 [EC:2.3.1.286]",ko
K20003,"palmitoyltransferase ZDHHC4 [EC:2.3.1.225]",ko
K20361,"intracellular protein transport protein USO1",ko
K02160,"acetyl-CoA carboxylase biotin carboxyl carrier protein",ko
K09560,"suppressor of tumorigenicity protein 13",ko
K00837,"aromatic aminotransferase [EC:2.6.1.-]",ko
