taxid,name,rank
2,Bacteria,superkingdom
1224,Proteobacteria,phylum
28211,Alphaproteobacteria,class
356,Rhizobiales,order
41294,Bradyrhizobiaceae,family
1073,Rhodopseudomonas,genus
1076,Rhodopseudomonas palustris,species
316056,Rhodopseudomonas palustris BisB18,genome
204455,Rhodobacterales,order
31989,Rhodobacteraceae,family
97050,Ruegeria,genus
292414,Ruegeria sp. TM1040,species
1553900,Oligoflexia,class
213481,Bdellovibrionales,order
213483,Bdellovibrionaceae,family
958,Bdellovibrio,genus
453816,Bdellovibrio exovorus,species
1184267,Bdellovibrio exovorus JSS,genome
28216,Betaproteobacteria,class
206351,Neisseriales,order
1499392,Chromobacteriaceae,family
535,Chromobacterium,genus
1778675,Chromobacterium rhizoryzae,species
1236,Gammaproteobacteria,class
91347,Enterobacterales,order
1903410,Pectobacteriaceae,family
204037,Dickeya,genus
69223,Dickeya paradisiaca,species
579405,Dickeya paradisiaca Ech703,genome
118882,Brucellaceae,family
528,Ochrobactrum,genus
271865,Ochrobactrum quorumnocens,species
1903409,Erwiniaceae,family
32199,Buchnera,genus
9,Buchnera aphidicola,species
107806,Buchnera aphidicola APS,genome
135625,Pasteurellales,order
712,Pasteurellaceae,family
75984,Mannheimia,genus
75985,Mannheimia haemolytica,species
1222034,Mannheimia haemolytica USDA-ARS-USMARC-184,genome
72273,Thiotrichales,order
34064,Francisellaceae,family
262,Francisella,genus
28110,Francisella philomiragia,species
481,Neisseriaceae,family
194195,Alysiella,genus
194196,Alysiella filiformis,species
204457,Sphingomonadales,order
41297,Sphingomonadaceae,family
541,Zymomonas,genus
542,Zymomonas mobilis,species
555217,Zymomonas mobilis subsp. mobilis ATCC 10988,genome
72274,Pseudomonadales,order
468,Moraxellaceae,family
469,Acinetobacter,genus
1879050,Acinetobacter wuhouensis,species
551,Erwinia,genus
182337,Erwinia billingiae,species
634500,Erwinia billingiae Eb661,genome
416916,Aggregatibacter,genus
714,Aggregatibacter actinomycetemcomitans,species
272556,Aggregatibacter actinomycetemcomitans HK1651,genome
543,Enterobacteriaceae,family
590,Salmonella,genus
28901,Salmonella enterica,species
454169,Salmonella enterica subsp. enterica serovar Heidelberg SL476,genome
713,Actinobacillus,genus
716,Actinobacillus suis,species
696748,Actinobacillus suis H91-0380,genome
135623,Vibrionales,order
641,Vibrionaceae,family
662,Vibrio,genus
663,Vibrio alginolyticus,species
1219076,Vibrio alginolyticus NBRC 15630 = ATCC 17749,genome
1862950,Rhizobiales bacterium NRL2,species
159345,Roseibacterium,genus
159346,Roseibacterium elongatum,species
1294273,Roseibacterium elongatum DSM 19469,genome
135619,Oceanospirillales,order
135620,Oceanospirillaceae,family
28253,Marinomonas,genus
119864,Marinomonas mediterranea,species
717774,Marinomonas mediterranea MMB-1,genome
122277,Pectobacterium,genus
78398,Pectobacterium odoriferum,species
1249016,Otariodibacter,genus
1032623,Otariodibacter oris,species
135621,Pseudomonadaceae,family
286,Pseudomonas,genus
287,Pseudomonas aeruginosa,species
1280938,Pseudomonas aeruginosa B136-33,genome
547,Enterobacter,genus
550,Enterobacter cloacae,species
716541,Enterobacter cloacae subsp. cloacae ATCC 13047,genome
53335,Pantoea,genus
470934,Pantoea vagans,species
28256,Halomonadaceae,family
504090,Kushneria,genus
657387,Kushneria sp. YCWA18,species
2745,Halomonas,genus
115555,Halomonas axialensis,species
32003,Nitrosomonadales,order
32011,Methylophilaceae,family
16,Methylophilus,genus
1662285,Methylophilus sp. TWE2,species
766,Rickettsiales,order
775,Rickettsiaceae,family
780,Rickettsia,genus
47589,Rickettsia peacockii,species
562019,Rickettsia peacockii Rustic,genome
165697,Sphingopyxis,genus
1515612,Sphingopyxis fribergensis,species
28221,Deltaproteobacteria,class
1779134,Bradymonadales,order
2292766,Bradymonadales bacterium YN101,species
29547,Epsilonproteobacteria,class
213849,Campylobacterales,order
72293,Helicobacteraceae,family
209,Helicobacter,genus
210,Helicobacter pylori,species
907240,Helicobacter pylori Gambia94/24,genome
33055,Candidatus Kinetoplastibacterium,genus
233181,Candidatus Kinetoplastibacterium blastocrithidii,species
1208923,Candidatus Kinetoplastibacterium blastocrithidii,genome
202746,Sulfurimonas,genus
2590021,Sulfurimonas sp. 1-1N,species
620,Shigella,genus
623,Shigella flexneri,species
1282357,Shigella flexneri 2003036,genome
135613,Chromatiales,order
1046,Chromatiaceae,family
1227,Nitrosococcus,genus
1814290,Nitrosococcus wardiae,species
1330545,Lelliottia,genus
1907578,Lelliottia jeotgali,species
570,Klebsiella,genus
571,Klebsiella oxytoca,species
69541,Desulfuromonadales,order
213421,Desulfuromonadaceae,family
18,Pelobacter,genus
19,Pelobacter carbinolicus,species
338963,Pelobacter carbinolicus DSM 2380,genome
214,Helicobacter felis,species
936155,Helicobacter felis ATCC 49179,genome
1240482,Orbales,order
1240483,Orbaceae,family
1193503,Gilliamella,genus
1196095,Gilliamella apicola,species
72294,Campylobacteraceae,family
194,Campylobacter,genus
1965231,Campylobacter pinnipediorum,species
1874362,Campylobacter pinnipediorum subsp. caledonicus RM18020,genome
234,Brucella,genus
36855,Brucella canis,species
1408887,Brucella canis Oliveri,genome
637913,Helicobacter pylori v225d,genome
772,Bartonellaceae,family
773,Bartonella,genus
774,Bartonella bacilliformis,species
360095,Bartonella bacilliformis KC583,genome
1676141,Wenzhouxiangellaceae,family
1676142,Wenzhouxiangella,genus
1579979,Wenzhouxiangella marina,species
2007306,Francisella adeliensis,species
1903411,Yersiniaceae,family
613,Serratia,genus
47917,Serratia fonticola,species
561,Escherichia,genus
562,Escherichia coli,species
1033813,Escherichia coli NA114 (UPEC),genome
80840,Burkholderiales,order
119060,Burkholderiaceae,family
32008,Burkholderia,genus
758796,Burkholderia sp. RPE67,species
482,Neisseria,genus
487,Neisseria meningitidis,species
604162,Neisseria meningitidis 8013 (serogroup C),genome
165695,Sphingobium,genus
1843368,Sphingobium sp. RAC03,species
506,Alcaligenaceae,family
517,Bordetella,genus
520,Bordetella pertussis,species
1017264,Bordetella pertussis CS,genome
942,Anaplasmataceae,family
953,Wolbachia,genus
169402,Wolbachia endosymbiont of Folsomia candida,species
263,Francisella tularensis,species
1452728,Francisella tularensis subsp. novicida F6168,genome
701177,Escherichia coli O55:H7 CB9615 (atypical EPEC),genome
204441,Rhodospirillales,order
433,Acetobacteraceae,family
434,Acetobacter,genus
438,Acetobacter pasteurianus,species
634459,Acetobacter pasteurianus IFO 3283-12,genome
189384,Candidatus Tremblaya,genus
189385,Candidatus Tremblaya princeps,species
891398,Candidatus Tremblaya princeps PCIT,genome
1856685,Pseudomonas sp. TCU-HL1,species
33990,Rickettsia bellii,species
336407,Rickettsia bellii RML369-C,genome
2433,Roseobacter,genus
42443,Roseobacter litoralis,species
391595,Roseobacter litoralis Och 149,genome
119045,Methylobacteriaceae,family
2282523,Methylorubrum,genus
408,Methylorubrum extorquens,species
440085,Methylorubrum extorquens CM4,genome
196,Campylobacter fetus,species
1093099,Campylobacter fetus subsp. venerealis 97/608,genome
1903414,Morganellaceae,family
637,Arsenophonus,genus
634113,Candidatus Arsenophonus lipoptenae,species
58842,Sagittula,genus
2009329,Sagittula sp. P11,species
1524249,Pseudohongiella,genus
1249552,Pseudohongiella spirulinae,species
342113,Burkholderia oklahomensis,species
441162,Burkholderia oklahomensis C6786,genome
1306993,Pseudomonas soli,species
1738654,Woeseiaceae,family
1738655,Woeseia,genus
1548547,Woeseia oceani,species
1178482,Halomonas huangheensis,species
29461,Brucella suis,species
645170,Brucella suis bv. 2 PT09172,genome
135622,Alteromonadales,order
72275,Alteromonadaceae,family
226,Alteromonas,genus
28108,Alteromonas macleodii,species
529120,Alteromonas macleodii ATCC 27126,genome
82996,Serratia plymuthica,species
768492,Serratia plymuthica AS9,genome
573,Klebsiella pneumoniae,species
1225181,Klebsiella pneumoniae subsp. pneumoniae KPNIH24,genome
267888,Pseudoalteromonadaceae,family
53246,Pseudoalteromonas,genus
28109,Pseudoalteromonas nigrifaciens,species
314281,Pseudoalteromonas tunicata,species
2500543,Salmonella sp. SSDFZ69,species
1484158,Pantoea sp. PSNIH1,species
106654,Acinetobacter nosocomialis,species
213118,Desulfobacterales,order
213121,Desulfobulbaceae,family
893,Desulfobulbus,genus
1986146,Desulfobulbus oralis,species
82115,Rhizobiaceae,family
379,Rhizobium,genus
1312183,Rhizobium jaguaris,species
118969,Legionellales,order
444,Legionellaceae,family
445,Legionella,genus
446,Legionella pneumophila,species
272624,Legionella pneumophila subsp. pneumophila Philadelphia 1 (serogroup 1),genome
473531,Nitrosococcus watsonii,species
105559,Nitrosococcus watsonii C-113,genome
